Lake.Name,Date.Sampled,Month,Measure,Achnanthidium.minutissimum,Actinastrum.hantzschii,Actinastrum.sp,Amphora.sp,Anabaena.sp,Anabaenopsis.sp,Anathece.clathrata,Ankistrodesmus.bernardii,Ankistrodesmus.spiralis,Ankistrodesmus.stipitatus,Ankyra.ancora,Ankyra.judayi,Aphanizomenon.flosaquae,Aphanizomenon.gracile,Aphanizomenon.skujae,Aphanizomenon.yezoense,Aphanocapsa.delicatissima,Aphanocapsa.elachista,Aphanocapsa.rivularis,Aphanocapsa.sp,Aphanothece.nidulans,Aphanothece.sp,Apocalathium.aciculiferum,Asterionella.formosa,Aulacoseira.ambigua,Aulacoseira.granulata,Aulacoseira.sp,Binuclearia.lauterbornii,Bitrichia.chodatii,Bitrichia.ollula,Botryococcus.sp,Ceratium.hirundinella,Chaetoceros.holsaticus,Chaetoceros.muelleri,Chaetoceros.simplex,Chaetoceros.sp,Chlamydocapsa.planctonica,Chlamydomonas.globosa,Chlamydomonas.sagittula,Chlamydomonas.snowiae,Chlamydomonas.sp,Chlorella.sp,Chlorolobion.braunii,Chloromonas.frigida,Chromulina.sp,Chromulinaceae,Chroococcus.dispersus,Chroococcus.sp,Chrysoikos.skujae,Chrysolykos.planctonicus,Chrysophyceae,Chrysosphaerella.longispina,Cladophora.sp,Closteriopsis.longissima,Closterium.acutum.var.variabile,Closterium.sp,Coccolithophyceae,Cocconeis.pediculus,Cocconeis.placentula,Cocconeis.sp,Codonosigopsis.sp,Coelastrum.astroideum,Coelastrum.microporum,Coelastrum.sphaericum,Coenochloris.fottii,Coenocystis.sp,Comasiella.arcuata.var.platydisca,Cosmarium.bioculatum,Cosmarium.granatum,Cosmarium.sp,Cosmarium.subcrenatum,Crucigenia.quadrata,Crucigenia.tetrapedia,Cryptomonas.curvata,Cryptomonas.erosa,Cryptomonas.marssonii,Cryptomonas.phaseolus,Cryptomonas.pyrenoidifera,Cryptomonas.tenuis,Cuspidothrix.issatschenkoi,Cyclotella.choctawhatcheeana,Cyclotella.meneghiniana,Cylindrospermum.minimum,Cylindrotheca.gracilis,Cymbella.sp,Cymbopleura.cuspidata,Delicata.delicatula,Denticula.sp,Desmarella.moniliformis,Desmodesmus.bicaudatus,Desmodesmus.bicellularis,Desmodesmus.intermedius,Desmodesmus.opoliensis,Diatoma.tenuis,Diatoma.vulgaris,Dictyosphaerium.ehrenbergianum,Dictyosphaerium.subsolitarium,Dinobryon.acuminatum,Dinobryon.bavaricum,Dinobryon.borgei,Dinobryon.dilatatum,Dinobryon.divergens,Dinobryon.sociale,Dinobryon.sociale.var.americanum,Dinobryon.sociale.var.stipitatum,Dinobryon.sp,Diplochloris.decussata,Diplochloris.lunata,Diplochloris.sp,Discostella.pseudostelligera,Dolichospermum.affine,Dolichospermum.crassum,Dolichospermum.flosaquae,Dolichospermum.mendotae,Dolichospermum.planctonicum,Dolichospermum.sigmoideum,Dolichospermum.solitarium,Dolichospermum.spiroides,Elakatothrix.gelatinosa,Elakatothrix.genevensis,Entomoneis.paludosa,Epipyxis.sp,Eremosphaera.eremosphaeria,Eremosphaera.gigas,Eudorina.elegans,Eudorina.sp,Euglena.sp,Eutetramorus.sp,Fragilaria.capucina,Fragilaria.crotonensis,Fragilariaceae,Franceia.droescheri,Glenodinium.sp,Gloeocystis.sp,Gloeotila.sp,Gloeotrichia.echinulata,Gloeotrichia.sp,Golenkinia.radiata,Gomphonema.sp,Gomphosphaeria.aponina,Goniochloris.mutica,Gregiochloris.lacustris,Gymnodinium.lantzschii,Gymnodinium.mitratum,Gymnodinium.sp,Hyaloraphidium.contortum,Katablepharis.ovalis,Kephyrion.boreale,Kephyrion.cupuliforme,Kirchneriella.lunaris,Kirchneriella.obesa,Korshikoviella.sp,Lagerheimia.ciliata,Lagerheimia.genevensis,Lagerheimia.longiseta,Lagerheimia.quadriseta,Lagerheimia.subsalsa,Lanceola.spatulifera,Lepocinclis.acus,Lepocinclis.sp,Limnococcus.limneticus,Limnoraphis.birgei,Limnothrix.lauterbornii,Limnothrix.sp,Lindavia.bodanica,Lindavia.michiganiana,Mallomonas.caudata,Mallomonas.pseudocoronata,Mallomonas.sp,Melosira.varians,Merismopedia.elegans,Merismopedia.glauca,Merismopedia.tenuissima,Merismopedia.warmingiana,Messastrum.gracile,Micractinium.pusillum,Microcystis.aeruginosa,Microcystis.ichthyoblabe,Microcystis.wesenbergii,Monactinus.simplex,Monoraphidium.circinale,Monoraphidium.contortum,Monoraphidium.convolutum,Monoraphidium.dybowskii,Monoraphidium.griffithii,Monoraphidium.irregulare,Monoraphidium.komarkovae,Monoraphidium.minutum,Monoraphidium.skujae,Monosiga.sp,Monosiga.varians,Mougeotia.sp,Mucidosphaerium.pulchellum,Naiadinium.polonicum,Navicula.sp,Neglectella.solitaria,Nephrocytium.agardhianum,Nephrocytium.lunatum,Nitzschia.acicularis,Nitzschia.paleacea,Nitzschia.sp,Nodularia.spumigena,Ochromonas.sp,Oocystis.apiculata,Oocystis.borgei,Oocystis.lacustris,Oocystis.naegelii,Oocystis.parva,Oocystis.pusilla,Oocystis.submarina,Oscillatoria.rosea,Oscillatoria.sancta,Paraphysomonas.bourrellyi,Parvodinium.inconspicuum,Parvodinium.umbonatum,Pediastrum.duplex,Pedinella.sp,Peridinium.sp,Phacus.acuminatus,Phacus.curvicauda,Phacus.sp,Phormidium.sp,Pinnularia.sp,Plagioselmis.nannoplanctica,Planktolyngbya.contorta,Planktolyngbya.limnetica,Planktothrix.agardhii,Plectonema.sp,Podohedra.sp,Pseudanabaena.limnetica,Pseudanabaena.mucicola,Pseudanabaena.redekei,Pseudokephyrion.attenuatum,Pseudokephyrion.ellipsoideum,Pseudokephyrion.minutissimum,Pseudokephyrion.spirale,Pseudopediastrum.boryanum,Pseudoschroederia.antillarum,Quadrigula.chodatii,Quadrigula.closterioides,Raphidocelis.danubiana,Rhabdoderma.irregulare,Rhabdoderma.lineare,Rhabdogloea.smithii,Rhabdomonas.sp,Rhodomonas.lens,Rhoicosphenia.abbreviata,Romeria.chlorina,Romeria.leopoliensis,Scenedesmus.balatonicus,Scenedesmus.bijugus,Scenedesmus.ellipticus,Scenedesmus.obtusus,Scenedesmus.obtusus.f.disciformis,Scenedesmus.pecsensis,Scenedesmus.quadricauda,Schroederia.indica,Schroederia.setigera,Snowella.arachnoidea,Snowella.lacustris,Sphaerocystis.schroeteri,Spiniferomonas.sp,Staurastrum.chaetoceras,Staurastrum.paradoxum,Staurastrum.smithii,Staurastrum.sp,Stauridium.tetras,Staurodesmus.cuspidicurvatus,Stelexomonas.dichotoma,Stephanodiscaceae,Stephanodiscus.niagarae,Stephanodiscus.parvus,Stephanodiscus.sp,Stichogloea.doederleinii,Stichogloea.globosa,Surirella.sp,Synechococcus.sp,Synechocystis.sp,Synedra.cyclopum,Synedra.sp,Synura.sp,Tabellaria.flocculosa,Tetrachlorella.alternans,Tetradesmus.bernardii,Tetradesmus.dimorphus,Tetradesmus.obliquus,Tetraëdron.caudatum,Tetraëdron.minimum,Tetraëdron.minimum.var.tetralobulatum,Tetraëdron.trigonum,Tetraselmis.cordiformis,Trachelomonas.dybowskii,Trachelomonas.volvocina,Treubaria.setigera,Treubaria.triappendiculata,Ulnaria.ulna,Uroglena.sp,Urosolenia.eriensis,Urosolenia.longiseta,Willea.crucifera,Willea.rectangularis,Woloszynskia.ordinata,Woronichinia.compacta,Woronichinia.naegeliana
ALIX LAKE,2014-06-11,Jun,Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.6859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849146,4.455029,1.603811,0,0,77.9452064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.1151,243.9396,0,0,0,56.45413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.40488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.900533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.019053,0,0,0,0,0,0,0,0,1.140488,0,0,0,0,731.3376,0,0,0,0.7128047,0,0,0,0,0,4.811432,0,0,0,0,0,0,0,20.95646,0,0,0,0,0,0,0,0,52.39115,0,0,3.564024,3.849146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6128,0,21.38414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.64024,0,0,18.2478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.36509,0,0,0,0,0,0,0,0,0,0,0,0,0,5.773718,0,30.79317,0,0,0,0,0,0,0,0,4.455029,0,0,0,0,0,0,0
ALIX LAKE,2014-07-08,Jul,Biomass,0,0,0,0,0,0,0,0,0,0,0,0.6415243,0,0,0,0,637.2474,0,133.437,0,0,81.79435,0,0,0,0,923.7949,0,0,0,0,0,0,0,0,0,0,0,1.44343,0,17.10731,15.39658,1.069207,0,0,128.705774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.82545,0,68.42925,0,0,0,0,0,0,0,0,84.68121,0,38.9726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99087,0,9.622865,0,0,0,0,0,0,0,0,0,0,0,0,13.36509,0,0,0,0,0,0,0,677.4496,0,0,0,0,0,0,0,1.202858,0,0,0,0,0,0,0,0,0,0,0,6.682545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.069207,0,0,0,0,0,0,0,0,0,0,53.46036,0,0,27.3717,32.50389,0,0,0,0,688.5694,0,0,0,9.622864,0,0,0,0,0,49.79832,0,0,0,0,0,0,0,11.54744,0,0,24.50442,0,40.43229,0,14.40757,0,123.1727,0,0,40.416031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.20959,0,24.05716,0,0,0,16.03811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.49146,0,0,0,0,0,0,0,0,14.4343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37832,0,0,0,0,0,10.26439,26.73018,0,0,0,0,0,0,0,0,84.54026,84.20007,0,0,0,0,0,0,0
ALIX LAKE,2014-08-13,Aug,Biomass,0,0,0,0,0,0,0,0,0,4.811432,0,0,0,0,0,0,354.1214,1030.609,180.4287,0,0,48.11432,0,0,0,0,490.7661,0,0,0,0,0,0,0,0,0,0,0,1.283049,0,0,25.66097,0,0,0,159.579116,0,0,0,0,0,0,0,0,0,0,3.849145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062.364,0,0,0,0,0,0,50.52003,0,0,0,0,0,0,0,0,0,0,32.07621,0,4.811432,0,0,0,0,0,0,0,0,0,0,0,0,8.019053,0,0,0,0,0,0,0,51.32194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.04763,0,0,0,0,0,0,0,0,0,0,0,0,36.754,0,0,0,0,0,0,0,0,0,0,0,0,0,23.09487,0,0,48.11432,0,0,0,0,0,0,0,205.2878,88.10267,0,0,0,0,312.2085,0,0,0.5346035,1.49689,92.37949,4.811432,8.553657,0,0,48.11432,0,1.202858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83049,0,0,0,0,26.73018,0,0,0,0,0,0,0,0,0,0,16.03811,0,541.2861,0,0,0,32.07621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.4744,0,0,0,0,0,0,0,0,0,0,0,4.330289,0,0,0,0,0,0,0,5.743224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.682545,0,3.207621,0,0,0,0,0
ALIX LAKE,2014-09-08,Sep,Biomass,0,0,0,0,0,0,0,0,0,4.811432,0,0,0,0,0,0,286.5475,1047.93,2145.097,0,0,0,0,0,0,57.73718,0,0,0,0,0,0,0,0,0,0,0,0,0.6415243,0,0,20.04763,0.6415243,0,13.09779,114.67248,0,0,0,0,0,0,0,0,0,0,8.125974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709.021,0,43.30289,0,0,0,15.71735,257.6522,0,0,0,0,0,0,0,0,0,0,25.98174,0,4.330289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684.2925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.3951,0,0,0,0,408.1698,0,0,0,0,0,0,0,374.2225,20.52878,0,0,0,1002.382,42.76828,0,0,0,36.35304,0,0,0,0,41.69908,28.8686,0,0,0,0,0,0,0,36.67381,0,0,0,0,0,0,0,0,62.86938,0,0,0.6415243,0,0,0,0,19.4863,0,0,0,0,0,0,0,19.24573,0,346.3292,0,0,465.1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.30289,72.17149,0,0,0,0,0,0,0,0,0,0,0,60.1429,0,0,0,0,0,0.5346035,0,609.9304,0,0,0,0,0,0,0,26.73018,0,0,0,0,0,0,0,161.7292,13.36509,0,10.82572,0,0,0,0,0
BUCK LAKE,2013-06-13,Jun,Biomass,0,0,0,0,0,0,0,0,0,0,0,4.343654,0,0,0,0,0,0,0,0,0,0,0,2001.399,0,1893.78,0,0,0,0,0,0,0,0,0,0,0,0,1.44343,0,0,8.353181,0,0,7.203784,31.43469,0,0,0,0,0,0,0,0,0,0,1.283049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.5398,2.871612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.804287,0,0,0,0,0,0,0,0,0,10.61858,0,0,0,0,0,0,0,1.804287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.98835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3438.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.682545,0,0,0,0,0,0,0
BUCK LAKE,2013-07-23,Jul,Biomass,0,0,0,0,0,0,0,0,0,0,0,0,89785.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3207621,0,0,6.682545,0,0,10.26439,29.0289714,0,0,0,0,0,0,0,0,0,0,0.4276828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.4287,465.3189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2226.624,160.1672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0262,0,0,0,0,0,0,0,0,0,0,0.2673018,0,0,0,0,0,18.04287,0,0,0,30.79317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601429,0,0,74.97815,0,0,0,0,0,0,0,0,0,0,0,0,53.46036,0,0,0,0,0.9088261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.34761,0,0,0,0,0,0,0,0,0,8123.782,0,0,0,0,0,0.3207621,0.2138414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUCK LAKE,2013-08-14,Aug,Biomass,0,0,0,0,0,0,0,0,0,0,0,0,290574.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.04763,0,0,0,87.648258,0,0,0,0,0,0,0,0,0,0,0.4276828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.68121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.202858,0,0,172.4096,0,0,0,0,0,0,0,0,0,0,75.78005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.069207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUCK LAKE,2013-10-04,Sep,Biomass,0,0,0,0,0,0,0,0,0,0,0,0,33841.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.670636,0,0,0,7.203784,0,0,0,0,0,0,0,0,0,0,0.4276828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.9336,0,92.17902,0,54.20881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.415243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3207621,0,87.40768,0,0,0,0,0,0,0,0,0,0,0,0,28.06669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9355562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUFFALO LAKE (NEAR BASHAW) MAIN,2014-06-26,Jun,Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521.7731,0,0,0,0,8.553657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8019053,0,6.403363,7.0448873,0,0,0,0,0,0,0,0,0,0,3.231381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.9316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.128047,0,0,0,0,0,0,0,0,0,0,0,0,0,347.8487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61691,40.74867,0,0,0,0,0.9075711,0,0,0,0,0,0,3.706585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.06809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.6097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.276829,0,0,0,0,0,0,0
BUFFALO LAKE (NEAR BASHAW) MAIN,2014-07-29,Jul,Biomass,0,0,0,0,0,0,0,0,0,0,0,0.7217148,0,0,0,0,316.4853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.759,0,0,0,0,0,0.6842926,0,0,0,51.96347,0,0,0,0,0,0,0,0,0,0,1.924573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73717,0,134.1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617.292,0,0,0,0,0,0,0,0,0,0,1385.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3849145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.0359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.211511,0,41.05756,0,0,4.105755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.26927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.175,0,0,0,0,0,0,0,0,0,0,0,8.211511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.079316,0,0,0,0,0,0,0
